,city,population,average_education_index,crime_index,sixteen_plus_employed_percentage,house_median_value,edu_index_norm,employed_percentage_norm
89,West Bend,31496,13.68,857,77.8,165600,0.7781569965870307,0.8761261261261262
90,Trempealeau,1698,13.67,188,78.6,148000,0.7775881683731514,0.8851351351351351
91,Dodgeville,4693,13.66,611,78.1,133000,0.777019340159272,0.8795045045045045
92,Viroqua,4378,13.66,667,79.7,112200,0.777019340159272,0.8975225225225226
93,New Richmond,8501,13.65,878,73.1,140700,0.7764505119453926,0.8231981981981982
94,Sturgeon Bay,9093,13.64,570,83.1,134600,0.7758816837315132,0.9358108108108107
95,Rothschild,5279,13.63,731,81.8,129800,0.7753128555176338,0.9211711711711712
96,Superior,26932,13.63,2234,81.2,113300,0.7753128555176338,0.9144144144144145
97,Walworth,2825,13.62,648,76.9,181000,0.7747440273037542,0.8659909909909911
98,Plymouth,8408,13.61,885,81.6,145900,0.7741751990898749,0.9189189189189189
99,Hortonville,2701,13.6,990,74.5,150300,0.7736063708759955,0.838963963963964
100,Poynette,2516,13.59,363,74.1,158300,0.7730375426621161,0.8344594594594594
101,Big Bend,1327,13.58,1010,80.3,211100,0.7724687144482367,0.9042792792792793
102,Pulaski,3507,13.58,612,75.1,120800,0.7724687144482367,0.8457207207207207
103,Fort Atkinson,12436,13.56,760,78.1,153800,0.771331058020478,0.8795045045045045
104,Combined Locks,3407,13.56,221,77.4,160900,0.771331058020478,0.8716216216216217
105,Cuba City,1899,13.56,627,82.8,119100,0.771331058020478,0.9324324324324325
106,Greenfield,36990,13.56,1240,84.3,173500,0.771331058020478,0.9493243243243243
107,Prescott,4222,13.56,1229,79.6,173000,0.771331058020478,0.8963963963963963
108,Marshfield,18514,13.55,894,80.4,128400,0.7707622298065985,0.9054054054054055
109,Elkhorn,10020,13.54,826,77,163400,0.770193401592719,0.8671171171171171
110,Fennimore,2416,13.54,820,79.8,96600,0.770193401592719,0.8986486486486487
111,Twin Lakes,6033,13.54,805,76.5,170500,0.770193401592719,0.8614864864864865
112,Fall Creek,1316,13.52,387,77.7,130300,0.7690557451649602,0.8750000000000001
113,Cleveland,1599,13.51,390,71.9,152100,0.7684869169510808,0.8096846846846848
114,Hartford,14251,13.5,747,77.5,181300,0.7679180887372015,0.8727477477477478
115,Richland Center,5128,13.49,735,82,101100,0.7673492605233221,0.9234234234234234
116,Slinger,5131,13.49,648,80.2,192100,0.7673492605233221,0.9031531531531533
117,Sheboygan Falls,7796,13.48,481,79.1,142500,0.7667804323094426,0.8907657657657657
118,Lancaster,3830,13.48,483,77.2,129700,0.7667804323094426,0.8693693693693695
119,Lake Geneva,7693,13.45,1440,79.5,190600,0.7650739476678043,0.8952702702702703
120,Somerset,2655,13.45,540,67.4,133400,0.7650739476678043,0.7590090090090091
121,New Glarus,2177,13.44,879,79.5,158600,0.764505119453925,0.8952702702702703
122,Lake Delton,2936,13.43,5813,83.6,140500,0.7639362912400456,0.9414414414414414
123,Burlington,10528,13.43,892,78.3,175800,0.7639362912400456,0.8817567567567568
124,Wausau,39209,13.42,1436,79.5,113800,0.7633674630261662,0.8952702702702703
125,Osceola,2522,13.42,1044,77.7,135300,0.7633674630261662,0.8750000000000001
